row,col,x,y,value
1,231,232,2,304
3,72,73,4,236
10,169,170,11,213
11,137,138,12,226
12,56,57,13,203
15,88,89,16,230
19,163,164,20,308
19,211,212,20,211
20,223,224,21,458
21,50,51,22,208
22,17,18,23,209
22,135,136,23,298
24,106,107,25,624
26,201,202,27,309
26,235,236,27,250
26,251,252,27,224
27,204,205,28,200
29,74,75,30,219
30,185,186,31,324
31,112,113,32,269
36,84,85,37,202
36,214,215,37,534
38,103,104,39,230
39,167,168,40,205
40,37,38,41,207
41,146,147,42,223
42,251,252,43,345
43,42,43,44,289
43,63,64,44,202
44,193,194,45,215
46,220,221,47,201
47,226,227,48,211
48,94,95,49,345
48,145,146,49,593
48,242,243,49,281
49,141,142,50,270
51,82,83,52,239
51,153,154,52,365
52,60,61,53,210
52,70,71,53,441
52,236,237,53,290
54,183,184,55,787
55,194,195,56,248
56,201,202,57,279
59,183,184,60,298
60,24,25,61,202
60,119,120,61,213
61,145,146,62,227
61,225,226,62,221
62,80,81,63,256
63,185,186,64,249
63,196,197,64,389
66,93,94,67,225
67,159,160,68,243
67,244,245,68,260
69,113,114,70,206
69,139,140,70,213
76,123,124,77,237
76,144,145,77,310
78,220,221,79,462
79,36,37,80,235
79,164,165,80,205
80,41,42,81,250
80,52,53,81,219
82,8,9,83,206
82,78,79,83,343
84,103,104,85,201
85,223,224,86,208
87,128,129,88,226
90,205,206,91,255
90,254,255,91,231
92,28,29,93,226
92,77,78,93,212
94,123,124,95,365
94,240,241,95,304
95,113,114,96,243
96,48,49,97,204
97,118,119,98,213
97,134,135,98,225
97,146,147,98,275
98,129,130,99,260
102,76,77,103,212
103,42,43,104,227
103,165,166,104,215
104,133,134,105,226
106,234,235,107,344
108,162,163,109,204
108,189,190,109,264
109,117,118,110,205
111,113,114,112,233
111,151,152,112,284
111,230,231,112,216
113,65,66,114,249
115,42,43,116,242
115,117,118,116,239
116,246,247,117,205
118,204,205,119,239
119,3,4,120,206
121,140,141,122,212
121,247,248,122,205
123,134,135,124,335
123,209,210,124,291
126,162,163,127,261
126,228,229,127,267
130,236,237,131,210
134,221,222,135,217
136,35,36,137,247
136,55,56,137,253
136,98,99,137,257
141,103,104,142,236
143,15,16,144,261
144,212,213,145,266
146,114,115,147,219
147,79,80,148,359
151,205,206,152,211
154,42,43,155,400
155,56,57,156,205
155,157,158,156,232
159,141,142,160,242
159,164,165,160,262
163,165,166,164,396
163,227,228,164,216
165,113,114,166,228
165,234,235,166,239
166,47,48,167,249
166,116,117,167,214
169,135,136,170,237
169,245,246,170,305
170,71,72,171,221
171,11,12,172,222
173,180,181,174,217
174,15,16,175,480
174,50,51,175,442
175,249,250,176,246
176,194,195,177,276
176,244,245,177,218
179,30,31,180,263
179,34,35,180,230
181,62,63,182,230
183,44,45,184,210
183,108,109,184,478
186,79,80,187,278
186,178,179,187,240
187,82,83,188,233
187,197,198,188,217
187,220,221,188,221
188,87,88,189,227
188,137,138,189,244
189,129,130,190,203
189,233,234,190,219
193,39,40,194,403
194,116,117,195,219
194,186,187,195,226
196,64,65,197,229
198,1,2,199,303
200,34,35,201,236
200,58,59,201,274
205,77,78,206,222
206,108,109,207,342
206,145,146,207,237
209,48,49,210,246
212,59,60,213,240
214,36,37,215,280
215,32,33,216,243
215,138,139,216,236
215,155,156,216,221
217,166,167,218,226
218,55,56,219,229
221,175,176,222,237
222,218,219,223,246
223,3,4,224,225
228,113,114,229,219
232,166,167,233,212
234,117,118,235,200
235,6,7,236,241
236,188,189,237,237
237,18,19,238,241
238,200,201,239,431
239,227,228,240,201
241,62,63,242,238
242,65,66,243,229
242,127,128,243,236
246,172,173,247,235
249,221,222,250,206
249,242,243,250,304
250,132,133,251,421
251,102,103,252,233
252,50,51,253,237
254,204,205,255,213
